S.no,Status,Date,Log dir name,Dataset id,Video,Location,Terrain,Slope,Velocity,Trajectory,Experiment Description,Runtime
20,completed,15.05.2026,20260515-124349.0436,DATA_07_02,17,MFH,Floor,0 deg,0.2m/s,Small Figure 8 pattern,Make a figure 8 using the joypad. With each circle of 8 being 1.5 to 2.5 meters in radius approx,119.348999999
21,completed,15.05.2026,20260515-124712.0725,DATA_07_03,18,MFH,Floor,0 deg,0.2m/s,Small Figure 8 pattern,Make a figure 8 using the joypad. With each circle of 8 being 1.5 to 2.5 meters in radius approx,129.047
22,completed,15.05.2026,20260515-130908.0878,DATA_08_01,19,MFH,Floor,0 deg,0.2m/s,BIG Figure 8 pattern,Make a figure 8 using the joypad. With each circle of 8 being 3 to 4 meters in radius approx,195.672
23,completed,15.05.2026,20260515-131412.0618,DATA_08_02,20,MFH,Floor,0 deg,0.2m/s,BIG Figure 8 pattern,Make a figure 8 using the joypad. With each circle of 8 being 3 to 4 meters in radius approx,177.138
24,completed,15.05.2026,20260515-132008.0051,DATA_08_03,21,MFH,Floor,0 deg,0.2m/s,BIG Figure 8 pattern,Make a figure 8 using the joypad. With each circle of 8 being 3 to 4 meters in radius approx,158.482
25,completed,18.05.2026,20260518-094434.0008,DATA_09_01,22,MFH,Floor,0 deg,0.2m/s,2m CW circle,Make a CW circle of approx radius of 2.5 to 3.5 meters,75.512
26,completed,18.05.2026,20260518-094710.0738,DATA_09_02,23,MFH,Floor,0 deg,0.2m/s,2m CW circle,Make a CW circle of approx radius of 2.5 to 3.5 meters,59.99
27,completed,18.05.2026,20260518-094913.0128,DATA_09_03,24,MFH,Floor,0 deg,0.2m/s,2m CW circle,Make a CW circle of approx radius of 2.5 to 3.5 meters,56.473
28,completed,18.05.2026,20260518-095338.0461,DATA_10_01,25,MFH,Floor,0 deg,0.2m/s,2m CCW circle,Make a CCW circle of approx radius of 2.5 to 3.5 meters,59.378
29,completed,18.05.2026,20260518-095520.0814,DATA_10_02,26,MFH,Floor,0 deg,0.2m/s,2m CCW circle,Make a CCW circle of approx radius of 2.5 to 3.5 meters,55.814
30,completed,18.05.2026,20260518-095651.0922,DATA_10_03,27,MFH,Floor,0 deg,0.2m/s,2m CCW circle,Make a CCW circle of approx radius of 2.5 to 3.5 meters,56.108
31,completed,18.05.2026,20260518-101600.0533,DATA_11_01,28,MFH,Floor,0 deg,0.2m/s,4mx4m square CW,"Make a square of approx 4m x 4m and make the start and end pose the same with all CW rotations. These are not perfect squares, there are some curved sides instead of straight ones",132.437999999
32,completed,18.05.2026,20260518-101928.0312,DATA_11_02,29,MFH,Floor,0 deg,0.2m/s,4mx4m square CW,"Make a square of approx 4m x 4m and make the start and end pose the same with all CW rotations. These are not perfect squares, there are some curved sides instead of straight ones",131.669
33,completed,18.05.2026,20260518-102220.0331,DATA_11_03,30,MFH,Floor,0 deg,0.2m/s,4mx4m square CW,"Make a square of approx 4m x 4m and make the start and end pose the same with all CW rotations. These are not perfect squares, there are some curved sides instead of straight ones",124
34,completed,18.05.2026,20260518-115224.0931,DATA_12_01,34,MFH,Floor,0 deg,0.2m/s,4mx4m square CCW,Make a square of approx 4x4m with CCW rotations.,36.81
35,completed,18.05.2026,20260518-115700.0477,DATA_12_02,35,MFH,Floor,0 deg,0.2m/s,4mx4m square CCW,Make a square of approx 4x4m with CCW rotations.,130.229999999
36,completed,18.05.2026,20260518-120123.0324,DATA_12_03,36,MFH,Floor,0 deg,0.2m/s,4mx4m square CCW,Make a square of approx 4x4m with CCW rotations.,143.998
37,completed,18.05.2026,20260518-113402.0656,DATA_13_01,31,MFH,Floor,0 deg,0.2m/s,Move forward with pull resistance,"Move the rover forward with given speed and pull the rover back so the spokes cant move the rover and it slips, at the end of the log, the rover moves forward like 0.15m so we can see how this affected the Inekf filter",41.195
38,completed,18.05.2026,20260518-113544.0154,DATA_13_02,32,MFH,Floor,0 deg,0.2m/s,Move forward with pull resistance,"Move the rover forward with given speed and pull the rover back so the spokes cant move the rover and it slips, at the end of the log, the rover moves forward like 0.15m so we can see how this affected the Inekf filter",45.587
39,completed,18.05.2026,20260518-113654.0135,DATA_13_03,33,MFH,Floor,0 deg,0.2m/s,Move forward with pull resistance,"Move the rover forward with given speed and pull the rover back so the spokes cant move the rover and it slips, at the end of the log, the rover moves forward like 0.15m so we can see how this affected the Inekf filter",36.81
40,completed,18.05.2026,20260518-145755.0037,DATA_14_01,46,MFH,Floor,0 deg,0.2m/s,Move forward in-place with stand,"Move the rover when it is on the stand, this don’t produce the resistance but no contacts either ",48.962
41,completed,18.05.2026,20260518-145901.0863,DATA_14_02,47,MFH,Floor,0 deg,0.2m/s,Move forward in-place with stand,"Move the rover when it is on the stand, this don’t produce the resistance but no contacts either ",46.685
42,completed,18.05.2026,20260518-150005.0076,DATA_14_03,48,MFH,Floor,0 deg,0.2m/s,Move forward in-place with stand,"Move the rover when it is on the stand, this don’t produce the resistance but no contacts either ",43.587
43,completed,18.05.2026,20260518-121637.0094,DATA_15_01,37,MFH,Floor,20-60deg,0.2m/s,move forward with obstacles on right side,Move the rover forward with wooden block on the path and climb the obstacles,35.128
44,completed,18.05.2026,20260518-132053.0013,DATA_15_02,38,MFH,Floor,20-60deg,0.2m/s,move forward with obstacles on right side,"Move the rover forward with wooden block on the path and climb the obstacles, with minimal logging, the obstacles moved and the rover is rotated a bit CW",31.135
45,completed,18.05.2026,20260518-132838.0276,DATA_15_03,39,MFH,Floor,20-60deg,0.2m/s,move forward with obstacles on right side,"Move the rover forward with wooden block on the path and climb the obstacles, with minimal logging ",29.218
46,completed,18.05.2026,20260518-134803.0698,DATA_16_01,40,MFH,Floor,20-60deg,0.1-0.2m/s,move forward with obstacles on both sides,"Move the rover forward with wooden block on the path and climb the obstacles, with minimal logging, the obstacles are on both the side of the rover, check video for more info",31.57
47,completed,18.05.2026,20260518-135805.0193,DATA_16_02,41,MFH,Floor,20-60deg,0.1-0.2m/s,move forward with obstacles on both sides,"Move the rover forward with wooden block on the path and climb the obstacles, with minimal logging, the obstacles are on both the side of the rover, The rover moved the obstacles a bit in this run and the RR wheel dropped from the top of obstacle to the floor suddenly and before that I had to rotate the rover a bit with the joypad since it was above to go sideways on the obstacle. This happened because on piece of wooden block was not properly placed",37.041
48,completed,18.05.2026,20260518-140548.0181,DATA_16_03,42,MFH,Floor,20-60deg,0.1-0.2m/s,move forward with obstacles on both sides,"Move the rover forward with wooden block on the path and climb the obstacles, with minimal logging, the obstacles are on both the side of the rover, check video for more info",34.99
49,completed,18.05.2026,20260518-142333.0337,DATA_17_01,43,MFH,Floor,20-60deg,0.1-0.2m/s,Move forward with obstacles on both sides staggered,"Move the rover forward with wooden block on the path and climb the obstacles, with minimal logging, the obstacles are arranged in a staggered formation on both side, only one set of obstacle per side, check video for more info ",35.995
50,completed,18.05.2026,20260518-142628.0910,DATA_17_02,44,MFH,Floor,20-60deg,0.1-0.2m/s,Move forward with obstacles on both sides staggered,"Move the rover forward with wooden block on the path and climb the obstacles, with minimal logging, the obstacles are arranged in a staggered formation on both side, only one set of obstacle per side, very noticible wobble happened because the rover was on top of the obstacles and only standing on two wheels so it rocked up and down and got contact in another wheel later ",38.913
51,completed,18.05.2026,20260518-143020.0386,DATA_17_03,45,MFH,Floor,20-60deg,0.1-0.2m/s,Move forward with obstacles on both sides staggered,"Move the rover forward with wooden block on the path and climb the obstacles, with minimal logging, the obstacles are arranged in a staggered formation on both side, only one set of obstacle per side, check video for more info ",31.784
52,completed,19.05.2026,20260519-094718.0547,DATA_18_01,49,Crater Hall,Sand,0 deg,0.2m/s,Move forward pause move back,"Move the rover in the sand forward and pause and move back, the pause is approx 5 seconds",70.268000000
53,completed,19.05.2026,20260519-094917.0961,DATA_18_02,50,Crater Hall,Sand,0 deg,0.2m/s,Move forward pause move back,"Move the rover in the sand forward and pause and move back, the pause is approx 5 seconds",80.202000000
54,completed,19.05.2026,20260519-095055.0682,DATA_18_03,51,Crater Hall,Sand,0 deg,0.2m/s,Move forward pause move back,"Move the rover in the sand forward and pause and move back, the pause is approx 5 seconds",71.567000000
55,completed,19.05.2026,20260519-095417.0492,DATA_19_01,52,Crater Hall,Sand,0 deg,0.4m/s,Move forward pause move back,"Move the rover in the sand forward and pause and move back, the pause is approx 5 seconds, after the pause there is a small forward motion before backward motion ",72.134000000
56,completed,19.05.2026,20260519-095631.0262,DATA_19_02,53,Crater Hall,Sand,0 deg,0.4m/s,Move forward pause move back,"Move the rover in the sand forward and pause and move back, the pause is approx 5 seconds",64.269000000
